@relation STORM_Dataset-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute Version numeric
@attribute Size numeric
@attribute LOC_Touched numeric
@attribute NR numeric
@attribute LOC_Added numeric
@attribute Max_LOC_Added numeric
@attribute Avg_LOC_Added numeric
@attribute Churn numeric
@attribute Max_Churn numeric
@attribute Avg_Churn numeric
@attribute ChgSetSize numeric
@attribute Max_ChgSetSize numeric
@attribute Avg_ChgSetSize numeric
@attribute Bugginess {No,Yes}

@data
2,382,1,1,17,17,17,17,17,17,565,565,565,No
2,30,1,1,17,17,17,17,17,17,565,565,565,No
2,22,1,1,17,17,17,17,17,17,565,565,565,No
2,108,19,3,87,17,29,134,56,45,1055,565,352,No
2,253,20,3,111,47,37,269,101,90,1055,565,352,No
2,75,1,1,17,17,17,17,17,17,565,565,565,No
2,93,1,1,17,17,17,17,17,17,565,565,565,No
2,49,1,1,17,17,17,17,17,17,565,565,565,No
2,383,1,1,17,17,17,17,17,17,565,565,565,No
2,59,1,1,17,17,17,17,17,17,565,565,565,No
2,124,10,3,50,19,17,104,46,35,1055,565,352,No
2,345,18,2,40,17,20,17,17,9,778,565,389,No
2,444,22,2,47,17,24,17,17,9,778,565,389,No
2,1128,54,2,108,31,54,17,17,9,778,565,389,No
2,615,30,2,60,17,30,17,17,9,778,565,389,No
2,724,32,2,67,17,34,17,17,9,778,565,389,No
2,402,21,2,50,17,25,17,17,9,778,565,389,No
2,442,22,2,47,17,24,17,17,9,778,565,389,No
2,1079,90,3,211,23,70,311,115,104,1055,565,352,No
2,2346,217,3,542,24,181,959,331,320,1055,565,352,No
2,626,40,3,233,45,78,569,201,190,992,565,331,No
2,437,22,2,47,17,24,17,17,9,778,565,389,No
2,335,19,2,45,17,23,17,17,9,778,565,389,No
2,696,34,2,70,17,35,17,17,9,778,565,389,No
2,825,37,2,74,17,37,17,17,9,778,565,389,No
2,679,28,2,73,18,37,17,17,9,778,565,389,No
2,480,24,2,50,17,25,17,17,9,778,565,389,No
2,549,24,2,62,17,31,17,17,9,778,565,389,No
2,337,17,2,39,17,20,17,17,9,778,565,389,No
2,16276,1317,3,4082,890,1361,8321,2785,2774,1055,565,352,No
2,242,13,2,33,17,17,17,17,9,778,565,389,No
2,566,25,2,55,17,28,17,17,9,778,565,389,No
2,434,20,2,45,17,23,17,17,9,778,565,389,No
2,773,38,2,78,19,39,17,17,9,778,565,389,No
2,677,32,2,66,17,33,17,17,9,778,565,389,No
2,479,24,2,50,17,25,17,17,9,778,565,389,No
2,453,35,3,137,23,46,305,113,102,1055,565,352,No
2,723,34,2,68,17,34,17,17,9,778,565,389,No
2,1125,61,3,276,46,92,587,207,196,1055,565,352,No
2,61,3,2,19,17,10,17,17,9,778,565,389,No
2,1102,59,3,273,46,91,587,207,196,1055,565,352,No
2,43,1,1,17,17,17,17,17,17,565,565,565,No
