@relation BOOKKEEPER_Dataset-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute Version numeric
@attribute Size numeric
@attribute LOC_Touched numeric
@attribute NR numeric
@attribute LOC_Added numeric
@attribute Max_LOC_Added numeric
@attribute Avg_LOC_Added numeric
@attribute Churn numeric
@attribute Max_Churn numeric
@attribute Avg_Churn numeric
@attribute ChgSetSize numeric
@attribute Max_ChgSetSize numeric
@attribute Avg_ChgSetSize numeric
@attribute Bugginess {No,Yes}

@data
2,250,23,5,284,73,57,746,246,149,984,333,197,No
2,248,8,2,26,8,13,36,24,18,534,299,267,No
2,275,42,11,139,22,13,961,103,87,1497,431,136,No
2,176,16,7,111,65,16,287,101,41,1143,332,163,No
2,624,167,32,655,70,20,7583,516,237,2246,208,70,No
2,91,2,1,4,2,4,3,3,3,424,424,424,No
2,132,12,3,83,66,28,150,75,50,700,295,233,No
2,558,34,13,84,21,6,523,52,40,1505,357,116,No
2,727,181,27,484,39,18,4176,270,155,2044,250,76,No
2,150,6,2,8,2,4,6,4,3,811,424,406,No
2,174,10,2,11,2,6,2,1,1,363,212,182,No
2,148,10,2,11,2,6,2,1,1,363,212,182,No
2,92,51,6,73,17,12,-2688,1,-448,706,260,118,No
2,665,1,1,1,1,1,0,0,0,131,131,131,No
2,88,1,1,33,33,33,33,33,33,315,315,315,No
2,260,89,14,367,35,26,633,148,45,2103,373,150,No
2,54,5,2,5,1,3,0,0,0,405,212,203,No
2,48,14,3,35,12,12,50,20,17,911,369,304,No
2,140,8,3,46,31,15,93,42,31,1009,427,336,No
2,39,9,2,11,2,6,2,1,1,363,212,182,No
2,129,11,4,68,57,17,188,60,47,1086,445,272,No
2,243,21,4,197,85,49,493,179,123,874,393,219,No
2,585,70,12,245,107,20,650,202,54,1069,364,89,No
2,295,28,4,30,3,8,-64,0,-16,738,442,185,No
2,355,33,4,89,35,22,95,57,24,910,329,228,No
2,226,39,10,176,60,18,942,146,94,994,361,99,No
2,378,36,9,304,56,34,1379,286,153,1117,307,124,No
2,268,30,8,190,67,24,338,170,42,1106,272,138,No
2,221,18,4,146,60,37,288,135,72,761,349,190,No
2,71,6,3,13,4,4,21,10,7,425,203,142,No
2,952,104,19,526,177,28,4603,412,242,1551,241,82,No
2,36,1,1,6,6,6,6,6,6,369,369,369,No
2,408,25,9,92,31,10,459,71,51,1164,404,129,No
2,100,8,5,9,2,2,4,1,1,1106,359,221,No
2,178,27,6,51,11,9,36,19,6,955,288,159,No
2,43,1,1,0,0,0,-4,0,-4,161,161,161,No
2,148,21,4,37,15,9,31,16,8,923,379,231,No
2,88,13,2,32,15,16,0,11,0,606,411,303,No
2,325,41,5,100,41,20,139,64,28,990,352,198,No
2,113,3,3,3,1,1,0,0,0,839,446,280,No
2,258,32,5,35,3,7,5,2,1,1117,432,223,No
2,49,85,18,337,30,19,-974,17,-54,859,197,48,No
2,551,86,17,322,88,19,2724,251,160,1233,241,73,No
2,243,52,8,60,5,8,53,11,7,1238,477,155,No
2,402,68,12,229,76,19,1136,142,95,1796,353,150,No
2,259,24,6,97,37,16,150,65,25,937,474,156,No
2,1038,200,16,720,151,45,250,346,16,1562,380,98,No
2,109,19,7,36,9,5,105,19,15,1280,441,183,No
2,100,11,4,36,25,9,77,26,19,1085,477,271,No
2,185,21,8,34,7,4,64,15,8,1153,492,144,No
2,118,6,3,7,2,2,3,2,1,736,510,245,No
2,67,4,2,14,11,7,12,12,6,701,468,351,No
2,166,5,2,5,1,3,0,0,0,565,486,283,No
2,74,1,1,1,1,1,0,0,0,477,477,477,No
2,153,26,7,44,11,6,71,18,10,1413,354,202,No
2,152,15,5,92,39,18,226,78,45,612,212,122,No
2,120,11,4,14,3,4,9,3,2,482,212,121,No
2,65,10,5,13,3,3,13,5,3,1245,400,249,No
2,147,20,8,102,25,13,160,67,20,1044,206,131,No
2,48,8,2,8,1,4,0,0,0,435,272,218,No
2,89,9,3,32,22,11,53,26,18,976,375,325,No
